aX, aY, aZ, gX, gY, gZ, mX, mY, mZ
0.1233,0.6472,0.6198,-12.5122,80.0171,-24.4141,9.0454,-29.9072,-1.9897
0.1229,0.6810,0.5408,-11.4746,77.6367,-28.5645,9.0454,-29.9072,-1.9897
0.1224,0.6747,0.4712,-7.0190,75.8667,-32.5317,9.0454,-29.9072,-1.9897
0.1261,0.6685,0.4086,-1.5259,70.6787,-40.1001,11.8164,-29.8340,-2.6123
0.1268,0.6385,0.2832,7.6294,67.4438,-44.3726,11.8164,-29.8340,-2.6123
0.1326,0.5811,0.2299,13.3057,63.8428,-48.6450,11.8164,-29.8340,-2.6123
0.1454,0.5326,0.1779,17.0288,59.7534,-55.5420,11.8164,-29.8340,-2.6123
0.1714,0.4540,0.0697,23.7427,50.8423,-58.5938,11.8164,-29.8340,-2.6123
0.1956,0.4048,0.0433,23.9868,45.9595,-61.5234,13.8428,-27.7832,-2.9785
0.2136,0.3707,0.0033,21.1792,40.9546,-64.2090,13.8428,-27.7832,-2.9785
0.2185,0.3262,-0.0446,15.3198,29.8462,-69.1528,13.8428,-27.7832,-2.9785
0.2579,0.2635,-0.0948,14.7095,23.4985,-70.4346,13.8428,-27.7832,-2.9785
0.2690,0.2631,-0.1478,15.8691,17.1509,-71.5332,15.6616,-26.3062,-1.4038
0.2926,0.2590,-0.2169,18.6157,2.3804,-74.5850,15.6616,-26.3062,-1.4038
0.3430,0.2775,-0.3915,17.7612,-5.1270,-76.9043,15.6616,-26.3062,-1.4038
0.3274,0.2833,-0.4827,17.0898,-14.3433,-80.0171,15.6616,-26.3062,-1.4038
0.3018,0.2278,-0.5159,16.7847,-24.8413,-87.9517,15.6616,-26.3062,-1.4038
0.3563,0.0156,-0.3447,17.8833,-47.4854,-90.7593,16.1743,-24.2920,-2.5391
0.3757,-0.0951,-0.2537,17.2119,-56.9458,-92.8345,16.1743,-24.2920,-2.5391
0.3795,-0.2238,-0.1927,17.1509,-72.8149,-93.5669,16.1743,-24.2920,-2.5391
0.3497,-0.4921,-0.0115,15.9912,-79.9561,-91.8579,16.1743,-24.2920,-2.5391
0.3326,-0.6008,0.0862,15.6250,-86.4258,-88.6841,14.5630,-21.9727,-4.9194
0.3198,-0.6965,0.1814,16.1743,-96.6797,-78.3691,14.5630,-21.9727,-4.9194
0.3125,-0.8676,0.3870,17.2729,-100.8911,-71.5332,14.5630,-21.9727,-4.9194
0.3119,-0.9498,0.4930,17.6392,-104.2480,-63.8428,14.5630,-21.9727,-4.9194
0.3038,-1.0298,0.6069,19.2261,-108.3984,-46.3867,14.5630,-21.9727,-4.9194
0.2866,-1.1362,0.6692,15.0757,-109.4971,-36.6821,11.1206,-20.7153,-5.7861
0.2585,-1.1492,0.6754,10.4980,-110.6567,-26.6113,11.1206,-20.7153,-5.7861
0.2336,-1.1521,0.7302,3.8452,-114.6240,-6.5308,11.1206,-20.7153,-5.7861
0.1736,-0.9753,0.9807,-2.8687,-115.6006,2.5635,11.1206,-20.7153,-5.7861
0.1591,-0.8545,1.1744,-11.9629,-114.8071,10.8032,7.7759,-21.0327,-4.8340
0.1279,-0.8293,1.3196,-9.7656,-113.2202,17.2729,7.7759,-21.0327,-4.8340
0.0826,-0.8025,1.5433,-7.0190,-106.0181,28.3813,7.7759,-21.0327,-4.8340
0.0491,-0.8220,1.6188,-8.2397,-100.5859,33.6914,7.7759,-21.0327,-4.8340
0.0181,-0.8060,1.6862,-17.9443,-79.1016,45.1050,7.7759,-21.0327,-4.8340
-0.0551,-0.7001,1.9714,-37.5366,-81.1768,51.3916,6.0059,-22.0093,-4.2969
-0.0725,-0.6311,2.0822,-42.6025,-72.9980,57.9224,6.0059,-22.0093,-4.2969
-0.0835,-0.5780,2.2622,-39.0015,-53.5889,71.8384,6.0059,-22.0093,-4.2969
-0.0992,-0.3304,2.5176,-39.0015,-41.0156,77.7588,6.0059,-22.0093,-4.2969
-0.1113,-0.2435,2.5071,-36.6211,-27.0996,81.9092,5.0903,-24.2676,-4.3091
-0.1234,-0.1359,2.4489,-38.1470,-0.7935,86.9751,5.0903,-24.2676,-4.3091
