aX, aY, aZ, gX, gY, gZ, mX, mY, mZ
0.4617,0.0336,-0.3923,35.9497,-35.7666,-37.9028,20.8252,-20.8862,-2.7832
0.4314,0.0229,-0.4012,45.8984,-46.9971,-39.6729,19.6289,-18.7988,-2.9419
0.3959,0.0227,-0.4232,54.6265,-57.9834,-41.5039,19.6289,-18.7988,-2.9419
0.3807,0.0416,-0.4879,65.1855,-80.5664,-46.2646,19.6289,-18.7988,-2.9419
0.2998,0.0764,-0.6436,59.3262,-92.7124,-49.4385,19.6289,-18.7988,-2.9419
0.2303,0.0624,-0.6702,47.3022,-105.8350,-53.9551,19.6289,-18.7988,-2.9419
0.1213,0.0309,-0.6387,33.6304,-119.9341,-59.2041,16.9067,-16.5283,-4.4434
0.0217,-0.0492,-0.5660,28.8696,-150.0854,-66.5894,16.9067,-16.5283,-4.4434
-0.0604,-0.0431,-0.3351,42.2363,-165.2832,-68.2983,16.9067,-16.5283,-4.4434
-0.0710,-0.0021,-0.1340,66.7725,-180.2368,-70.7397,16.9067,-16.5283,-4.4434
-0.1510,-0.0386,0.0500,99.7925,-200.9277,-81.5430,16.9067,-16.5283,-4.4434
-0.3430,-0.0963,0.5745,99.6704,-205.5054,-88.1958,11.5112,-13.2324,-5.0049
-0.4467,-0.1399,0.8853,107.7881,-207.4585,-94.0552,11.5112,-13.2324,-5.0049
-0.5802,-0.1962,1.1833,110.7788,-201.2329,-106.9336,11.5112,-13.2324,-5.0049
-0.6056,-0.6514,1.8721,156.5552,-194.5801,-112.5488,11.5112,-13.2324,-5.0049
-0.5422,-0.7187,2.0912,143.1885,-179.1382,-117.0044,15.5029,-13.1348,0.8423
-0.5831,-1.1904,2.2667,164.0625,-144.5923,-110.4736,15.5029,-13.1348,0.8423
-0.4583,-1.7450,2.4978,139.1602,-123.5352,-102.3560,15.5029,-13.1348,0.8423
-0.4324,-1.9731,2.4988,116.9434,-101.6235,-90.1489,15.5029,-13.1348,0.8423
-0.4141,-2.0757,2.4948,55.1147,-58.9600,-58.4717,85.7178,9.5947,13.9893
-0.3679,-2.1074,2.2203,29.9072,-41.1987,-40.5273,85.7178,9.5947,13.9893
-0.3450,-1.9752,2.0785,11.2305,-26.0620,-22.7661,85.7178,9.5947,13.9893
-0.3256,-1.7876,1.9581,-0.9766,-12.9395,6.2256,85.7178,9.5947,13.9893
-0.2617,-1.4069,1.8080,-14.8315,7.1411,17.3950,85.7178,9.5947,13.9893
-0.2338,-1.1986,1.7119,-22.0337,16.6626,26.1841,106.3354,20.3003,-6.1401
-0.2140,-0.9921,1.6287,-28.7476,25.0244,32.4097,106.3354,20.3003,-6.1401
-0.1876,-0.8004,1.5133,-39.8560,38.5742,37.1704,106.3354,20.3003,-6.1401
-0.1272,-0.5448,1.2761,-38.2690,42.7856,36.8652,106.3354,20.3003,-6.1401
-0.0930,-0.4816,1.1726,-34.4849,45.4712,35.1563,106.3354,20.3003,-6.1401

-0.0001,-0.3793,1.3611,-1.8311,-13.3057,-1.4038,-1.2451,-15.9424,-13.6230
-0.0228,-0.3927,1.5067,-5.1270,-11.1694,-0.7935,-1.2451,-15.9424,-13.6230
-0.0500,-0.4086,1.6575,-15.0146,-3.1738,0.7935,-1.2451,-15.9424,-13.6230
-0.0629,-0.3771,1.9874,-19.6533,2.5635,1.7090,-1.1108,-16.4673,-13.9893
-0.0580,-0.3590,2.1177,-23.0103,10.4980,2.2583,-1.1108,-16.4673,-13.9893
-0.0676,-0.3522,2.1720,-38.8184,30.4565,2.2583,-1.1108,-16.4673,-13.9893
-0.0911,-0.3673,2.1283,-47.2412,40.8325,1.7090,-1.1108,-16.4673,-13.9893
-0.0979,-0.3865,2.0579,-54.1992,50.4150,1.2817,-1.1108,-16.4673,-13.9893
-0.0996,-0.4082,1.9478,-62.2559,66.4673,1.9531,1.4771,-18.5547,-12.8296
-0.0908,-0.4597,1.6661,-63.5376,72.2656,3.1128,1.4771,-18.5547,-12.8296
-0.0874,-0.4858,1.5461,-64.5142,76.2329,4.3335,1.4771,-18.5547,-12.8296
-0.0698,-0.4696,1.4867,-63.9648,78.6133,9.8267,1.4771,-18.5547,-12.8296
-0.0299,-0.4167,1.4315,-51.5137,82.0313,12.6953,4.1260,-20.3125,-10.5225
-0.0057,-0.3751,1.3663,-47.6074,84.1064,15.0146,4.1260,-20.3125,-10.5225
0.0022,-0.2935,1.3136,-48.3398,87.3413,18.5547,4.1260,-20.3125,-10.5225
0.0183,-0.0967,1.2253,-46.7529,88.7451,19.0430,4.1260,-20.3125,-10.5225
0.0347,0.0222,1.2292,-47.2412,90.0269,18.4937,4.1260,-20.3125,-10.5225
