aX, aY, aZ, gX, gY, gZ, mX, mY, mZ
-0.8204,1.2150,3.2664,1.4648,83.7402,129.0894,0.0854,-29.4556,-7.0923
-0.7977,1.4800,2.5897,9.9487,102.7222,118.1641,0.0854,-29.4556,-7.0923
-0.7706,1.6089,2.2938,8.0566,114.3188,106.2012,0.7080,-29.4189,-7.7148
-0.7435,1.6598,2.0492,4.8828,122.6807,92.5293,0.7080,-29.4189,-7.7148
-0.7333,1.6245,1.8872,2.6855,133.3008,64.2090,0.7080,-29.4189,-7.7148
-0.7001,1.5908,1.3927,0.9766,137.0239,50.8423,0.7080,-29.4189,-7.7148
-0.6628,1.5438,1.0807,-1.8311,138.6108,37.3535,0.7080,-29.4189,-7.7148
-0.6240,1.4498,0.8956,-2.4414,136.5356,11.9019,2.5024,-28.9063,-6.7871
-0.5382,1.1804,0.6653,2.8076,128.2349,1.3428,2.5024,-28.9063,-6.7871
-0.5100,1.0742,0.6096,4.8218,123.0469,-6.7139,2.5024,-28.9063,-6.7871
-0.4598,1.1085,0.5497,2.8076,117.7368,-14.0381,2.5024,-28.9063,-6.7871
-0.4263,1.1545,0.4550,-6.9580,105.4688,-31.9214,4.2114,-27.8076,-5.4810
-0.3376,1.0043,0.4110,-6.2256,98.5107,-42.4194,4.2114,-27.8076,-5.4810
-0.2858,0.7723,0.3945,-4.0894,91.9800,-52.3071,4.2114,-27.8076,-5.4810
-0.2349,0.5032,0.4044,-4.3335,79.2847,-64.2090,4.2114,-27.8076,-5.4810
-0.1243,0.1738,0.4955,-11.6577,73.9136,-66.2842,4.2114,-27.8076,-5.4810
-0.0837,0.0425,0.5454,-13.6719,69.3359,-67.0776,7.0312,-26.3672,-7.2266
-0.0468,-0.0928,0.5750,-13.7939,62.5000,-65.1855,7.0312,-26.3672,-7.2266
0.0138,-0.2753,0.6208,-8.6060,59.7534,-62.1948,7.0312,-26.3672,-7.2266
0.0449,-0.2964,0.6195,-6.8359,57.6172,-58.8989,7.0312,-26.3672,-7.2266
0.0701,-0.3079,0.6345,-6.9580,54.3213,-52.9785,8.7524,-25.4883,-7.6416
0.1243,-0.3018,0.6294,-9.7656,53.2837,-50.5371,8.7524,-25.4883,-7.6416
0.1448,-0.3033,0.5828,-12.2070,52.4902,-48.7061,8.7524,-25.4883,-7.6416
0.1719,-0.3079,0.5305,-12.1460,49.4995,-44.5557,8.7524,-25.4883,-7.6416
0.2368,-0.2721,0.3740,-10.0098,47.4854,-42.7246,8.7524,-25.4883,-7.6416
0.2640,-0.2540,0.2595,-9.0942,44.9829,-40.8325,10.5225,-24.8535,-7.2021
0.2870,-0.2292,0.1737,-7.9346,36.5601,-37.2314,10.5225,-24.8535,-7.2021
0.3478,-0.1879,0.0221,-5.0659,31.6772,-35.7666,10.5225,-24.8535,-7.2021
0.3669,-0.2198,-0.0529,-3.8452,26.6113,-34.6680,10.5225,-24.8535,-7.2021
