aX, aY, aZ, gX, gY, gZ, mX, mY, mZ
0.1534,-0.8280,-0.9938,-6.1035,-85.9375,25.0854,8.6426,-9.3506,-6.8726
0.0536,-0.8201,-1.0878,-11.6577,-99.5483,26.7944,8.6426,-9.3506,-6.8726
-0.0458,-0.9077,-0.9680,-7.8125,-135.8643,32.0435,8.6426,-9.3506,-6.8726
-0.2679,-1.2048,-0.2588,-0.5493,-152.5269,38.1470,6.0181,-11.8286,-5.1147
-0.3733,-1.2488,0.1912,3.9673,-165.2832,46.7529,6.0181,-11.8286,-5.1147
-0.4801,-1.1881,0.6335,10.1318,-177.4902,66.2231,6.0181,-11.8286,-5.1147
-0.5946,-0.7938,1.5017,13.0005,-176.6357,74.3408,6.0181,-11.8286,-5.1147
-0.6052,-0.5477,1.8602,12.5122,-170.7153,79.2236,2.2339,-14.7827,-6.6772
-0.6031,-0.2532,2.1007,2.0142,-147.4609,79.8340,2.2339,-14.7827,-6.6772
-0.5675,0.1791,2.2701,-1.7700,-133.0566,74.8901,2.2339,-14.7827,-6.6772
-0.5422,0.2749,2.2269,-4.7607,-119.4458,67.6270,2.2339,-14.7827,-6.6772
-0.5067,0.2838,2.1815,-4.1504,-95.8862,50.6592,-1.9287,-16.2964,-9.1431
-0.4607,0.0529,1.9709,-0.4883,-86.4868,43.6401,-1.9287,-16.2964,-9.1431
-0.4429,-0.1035,1.8906,2.6855,-79.4067,38.8184,-1.9287,-16.2964,-9.1431
-0.4313,-0.2390,1.8325,7.2632,-70.0684,36.9263,-1.9287,-16.2964,-9.1431
-0.3875,-0.3754,1.8549,9.7656,-66.4673,38.6963,-1.9287,-16.2964,-9.1431
-0.3467,-0.3109,1.8911,10.3760,-62.3169,41.3208,-4.8828,-15.0879,-10.8276
-0.3175,-0.1866,1.9117,8.2397,-52.3682,43.5181,-4.8828,-15.0879,-10.8276
-0.2723,0.0768,1.9200,7.3853,-46.9360,42.0532,-4.8828,-15.0879,-10.8276
-0.2532,0.1903,1.9304,7.0801,-41.2598,38.7573,-4.8828,-15.0879,-10.8276
-0.2361,0.2620,1.9100,7.5073,-28.3813,27.7100,-6.7505,-14.4043,-11.5112
-0.2108,0.2589,1.7987,6.8970,-21.9727,21.1792,-6.7505,-14.4043,-11.5112
-0.2057,0.2213,1.7192,4.2114,-15.8081,15.0146,-6.7505,-14.4043,-11.5112
-0.2140,0.1852,1.5820,-1.2817,-6.4087,4.7607,-6.7505,-14.4043,-11.5112
-0.2120,0.1331,1.3984,-1.6479,-4.6997,0.5493,-6.7505,-14.4043,-11.5112
-0.2067,0.0822,1.4177,-2.3804,-3.9673,-2.9297,-6.8481,-13.5742,-12.4512
-0.1989,0.0271,1.4630,-0.3052,-1.3428,-7.5684,-6.8481,-13.5742,-12.4512
-0.1748,-0.0139,1.5719,2.8076,1.2817,-9.0332,-6.8481,-13.5742,-12.4512
-0.1702,0.0000,1.5583,4.2114,5.1880,-10.3760,-6.8481,-13.5742,-12.4512
-0.1727,0.0331,1.5344,1.8921,12.9395,-14.1602,-6.8481,-14.3921,-11.6089
-0.1758,0.1458,1.5586,-0.1831,16.9067,-16.7236,-6.8481,-14.3921,-11.6089
-0.1891,0.1910,1.5782,-0.6714,21.0571,-20.2637,-6.8481,-14.3921,-11.6089
-0.1995,0.2352,1.5894,2.6245,30.4565,-28.9307,-6.8481,-14.3921,-11.6089
-0.2383,0.2235,1.4662,6.1035,34.9731,-34.1187,-6.8481,-14.3921,-11.6089
-0.2594,0.1794,1.4103,8.2397,38.2690,-38.7573,-4.6021,-15.2954,-12.0361
-0.2886,0.1230,1.3762,8.5449,42.8467,-46.0205,-4.6021,-15.2954,-12.0361
-0.3309,0.0332,1.4259,7.9956,44.0674,-48.5840,-4.6021,-15.2954,-12.0361
