aX, aY, aZ, gX, gY, gZ, mX, mY, mZ
0.3639,-0.8165,0.2245,-1.0986,3.9062,-0.9155,9.4604,1.0742,-3.2959
0.3694,-0.8242,0.2610,-1.4648,0.8545,-0.0610,9.4604,1.0742,-3.2959
0.3723,-0.8167,0.3005,-0.2441,-3.2349,2.7466,9.2407,0.7690,-3.1982
0.3667,-0.7485,0.4089,0.4272,-5.0049,3.9673,9.2407,0.7690,-3.1982
0.3608,-0.6995,0.4553,1.2207,-6.3477,4.9438,9.2407,0.7690,-3.1982
0.3607,-0.6545,0.4757,4.1504,-7.1411,5.4321,9.2407,0.7690,-3.1982
0.3516,-0.6165,0.5007,5.1270,-7.3242,4.6997,9.2407,0.7690,-3.1982
0.3444,-0.6040,0.4969,5.4321,-7.3242,4.2725,8.9722,1.3916,-3.1128
0.3335,-0.5922,0.4855,4.2114,-7.5073,3.2959,8.9722,1.3916,-3.1128
0.3169,-0.5728,0.4553,3.9673,-7.7515,2.4414,8.9722,1.3916,-3.1128
0.3082,-0.5741,0.4224,4.4556,-8.0566,1.8921,8.9722,1.3916,-3.1128
0.2957,-0.5684,0.3765,7.8125,-9.5825,0.7324,9.2651,1.2207,-2.3193
0.2678,-0.5725,0.2891,9.3384,-10.8032,0.1831,9.2651,1.2207,-2.3193
0.2532,-0.5587,0.2288,9.5825,-12.2070,-0.2441,9.2651,1.2207,-2.3193
0.2396,-0.5297,0.1670,10.9863,-15.9302,-1.2817,9.2651,1.2207,-2.3193
0.2184,-0.4552,0.0466,13.4888,-18.3105,-2.1973,8.9111,1.1475,-1.1963
0.2212,-0.4386,-0.0067,13.1836,-20.7520,-3.0518,8.9111,1.1475,-1.1963
0.2045,-0.4167,-0.0715,8.7891,-25.6958,-4.7607,8.9111,1.1475,-1.1963
0.1661,-0.3029,-0.2561,5.6152,-28.8696,-5.9814,8.9111,1.1475,-1.1963
0.1523,-0.2406,-0.3835,1.8311,-33.3252,-8.3008,8.9111,1.1475,-1.1963
0.1289,-0.2244,-0.4714,-0.1831,-49.3164,-15.8081,8.8135,-0.1831,-1.5259
0.0807,-0.2593,-0.5404,-0.7324,-59.5093,-20.0195,8.8135,-0.1831,-1.5259
0.0446,-0.3152,-0.5090,-1.6479,-70.8008,-23.8037,8.8135,-0.1831,-1.5259
0.0090,-0.3656,-0.4247,-0.7324,-92.7734,-28.5645,8.8135,-0.1831,-1.5259
-0.0863,-0.4124,-0.1362,1.2207,-101.5015,-29.9072,9.7900,-1.8555,-1.3062
-0.1338,-0.4259,0.0089,0.8545,-108.6426,-31.6162,9.7900,-1.8555,-1.3062
-0.1686,-0.4795,0.1615,-2.2583,-119.1406,-36.1938,9.7900,-1.8555,-1.3062
-0.2218,-0.6687,0.5138,-2.3193,-122.5586,-37.4146,9.7900,-1.8555,-1.3062
-0.2224,-0.8104,0.6450,-3.0518,-124.0234,-37.4756,9.7900,-1.8555,-1.3062
-0.2393,-0.8223,0.8630,6.8970,-123.0469,-32.9590,10.8398,-0.8667,-5.2124
